file,genre,bpm,score_rythme,score_musicalite,commentaire,version,score_rythme_alt,score_musicalite_alt,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,zcr_mean
audio_degraded/synth_208499_Analog_Synth_01_G___degraded_musicality.wav,ambient,120,100,100,Bizarre,degraded_musicality,100,70,-505.84564208984375,37.63419723510742,-9.459768295288086,-9.071123123168945,-13.164761543273926,-11.956303596496582,-5.892146587371826,1.679280400276184,2.6476988792419434,-2.31306791305542,-6.246812343597412,-2.5416409969329834,2.7682011127471924,0.5259057879447937,0.4606746435165405,0.6200448274612427,0.8621684312820435,0.5414082407951355,0.48275133967399597,0.49787530303001404,0.48001399636268616,0.4828348457813263,0.4747016131877899,0.5073432922363281,0.5801368355751038,0.025519875919117647
audio_degraded/guitar_130482_Time-Stretched_Electric_Guitar_7__degraded_musicality.wav,electronic,161,40,50,Wtf,degraded_musicality,40,35,-298.4144287109375,216.0986328125,-63.099979400634766,-46.22596740722656,3.933309555053711,-10.624165534973145,-3.261958122253418,1.150443434715271,-1.843901515007019,0.23795679211616516,-2.9842782020568848,-4.085728168487549,-0.9162663221359253,0.4679328203201294,0.4597926735877991,0.45510217547416687,0.377058744430542,0.39915797114372253,0.37029072642326355,0.29683366417884827,0.41270533204078674,0.40803852677345276,0.3528771996498108,0.39092060923576355,0.414509654045105,0.05542639115368936
guitar/800688_Acoustic_Guitar_Oneshot_Slice_57.mp3,electronic,120,100,100,Ok,,,,-284.57891845703125,150.3414764404297,-0.23219680786132812,37.31879425048828,-9.313490867614746,32.14405059814453,-0.6459633708000183,23.620004653930664,-3.336000442504883,5.772577285766602,-1.5020296573638916,1.631103277206421,-4.553279399871826,0.6817028522491455,0.41836681962013245,0.337421178817749,0.26415881514549255,0.32241854071617126,0.4070569574832916,0.4891583025455475,0.5619779825210571,0.6696487665176392,0.8086336851119995,0.9327303767204285,0.9180299043655396,0.01767578125
audio_degraded/voice_254330_Male_vocal_breathy_aahhh__degraded_musicality.wav,voice,156,0,0,Ahhh,degraded_musicality,0,0,-233.51007080078125,131.09039306640625,-44.180904388427734,12.91008186340332,-37.49007034301758,41.669944763183594,-20.793575286865234,8.137137413024902,-11.41239070892334,9.724566459655762,-8.938337326049805,8.562627792358398,9.437686920166016,0.331657350063324,0.3775768578052521,0.484639972448349,0.5764631628990173,0.5091535449028015,0.439439594745636,0.5016198754310608,0.7820097804069519,0.6569122076034546,0.3859720528125763,0.27582594752311707,0.2765829563140869,0.07898495802238806
audio_degraded/guitar_167414_OpenB__degraded_musicality.wav,simple_note,120,100,100,B,degraded_musicality,100,70,-645.858154296875,97.85560607910156,49.498355865478516,13.427851676940918,-0.4118039011955261,-2.7991714477539062,-1.173599123954773,0.1872444748878479,-4.4200544357299805,-12.506141662597656,-13.63071060180664,-5.77346134185791,1.346295714378357,0.06777814775705338,0.03552398830652237,0.011214228346943855,0.040094178169965744,0.2741878926753998,0.13400869071483612,0.0646795779466629,0.18086226284503937,0.6035591959953308,0.9630776047706604,0.7053195238113403,0.3729758858680725,0.014555595290492957
drums/457380_kick_8.mp3,,129,,,,,,,-3.92901873588562,132.21495056152344,2.3963119983673096,44.6324348449707,3.404005289077759,27.25592041015625,-3.4449563026428223,19.220539093017578,-4.8120856285095215,15.8193359375,-6.91285514831543,13.818289756774902,-5.195600509643555,0.656200110912323,0.5518761873245239,0.46864989399909973,0.47419068217277527,0.5384705662727356,0.5679569840431213,0.5767266154289246,0.6660524010658264,0.8186424374580383,0.9108570218086243,0.8449049592018127,0.7383336424827576,0.008520153985507246
audio_degraded/sfx_322500_Explosion_14b__degraded_musicality.wav,ambient,120,100,100,Bizarre,degraded_musicality,100,70,-441.2498474121094,62.60800552368164,21.36244773864746,29.871601104736328,24.763883590698242,19.10465431213379,14.749979972839355,9.652636528015137,11.10359001159668,8.889815330505371,7.5029826164245605,6.267197132110596,5.3947014808654785,0.744149923324585,0.7454668879508972,0.7657599449157715,0.7765446901321411,0.7947626709938049,0.7708683609962463,0.7483545541763306,0.7387151718139648,0.7222603559494019,0.706615686416626,0.6912394165992737,0.7106987237930298,0.01682666843220339
audio_degraded/ambient_327691_ambience_hydroelectric_power_station_Donau_Greifenstein__degraded_musicality.wav,,100,,,,degraded_musicality,,0,-346.7784118652344,242.3753204345703,-44.24149703979492,12.697775840759277,12.063215255737305,-21.97454833984375,15.14577865600586,-1.3422542810440063,-7.7681050300598145,6.432383060455322,-4.9255757331848145,0.6620840430259705,-0.5411819815635681,0.7055539488792419,0.7703956961631775,0.69611656665802,0.6554391384124756,0.6912320852279663,0.618637204170227,0.5252694487571716,0.49999260902404785,0.4605991840362549,0.41675108671188354,0.45431092381477356,0.5460273623466492,0.028008918968251476
guitar/329705_guitar.mp3,rock,102,80,80,Riff,,,,-468.75689697265625,142.32742309570312,54.38914108276367,23.750003814697266,10.114753723144531,7.367613792419434,4.949245452880859,8.1930513381958,4.424448490142822,-2.9056942462921143,-2.4045815467834473,-4.256472587585449,-8.393366813659668,0.4180094301700592,0.6545836925506592,0.7531098127365112,0.6117844581604004,0.38711097836494446,0.33745941519737244,0.34482693672180176,0.37892502546310425,0.36374637484550476,0.3234204053878784,0.29033344984054565,0.29710090160369873,0.02102853397050401
audio_degraded/guitar_8400_Clean_G_harm__degraded_rhythm.wav,simple_note,120,100,100,simple,degraded_rhythm,70,100,-580.8387451171875,15.230070114135742,6.556763648986816,1.8958969116210938,-0.6245253682136536,-1.0907484292984009,-1.0971903800964355,-1.402020812034607,-2.059358835220337,-2.9788658618927,-3.6245229244232178,-3.985731363296509,-3.6928446292877197,0.3183629810810089,0.31480371952056885,0.3614652156829834,0.34275367856025696,0.32685038447380066,0.33371585607528687,0.516586184501648,0.9149148464202881,0.6756044030189514,0.42889782786369324,0.3668946325778961,0.3485117554664612,0.22970084666746873
